0,1,2
cup with handle,ILMN,2023-01-05 00:00:00
cup with handle,ILMN,2023-01-06 00:00:00
cup with handle,2023-01-09 00:00:00,ILMN
cup with handle,2023-01-04 00:00:00,INTC
cup with handle,INTC,2023-01-05 00:00:00
IQV,2023-01-04 00:00:00,cup with handle
IQV,cup with handle,2023-01-05 00:00:00
IQV,2023-01-09 00:00:00,cup with handle
cup with handle,2023-01-09 00:00:00,JKHY
KEY,cup with handle,2022-12-29 00:00:00
2022-12-30 00:00:00,KEY,cup with handle
2023-01-03 00:00:00,KEY,cup with handle
KEY,cup with handle,2023-01-05 00:00:00
cup with handle,KIM,2023-01-06 00:00:00
2022-12-30 00:00:00,KMI,cup with handle
2023-01-03 00:00:00,KMI,cup with handle
cup with handle,KR,2023-01-06 00:00:00
2023-01-09 00:00:00,cup with handle,KR
LNC,2023-01-04 00:00:00,cup with handle
LNC,cup with handle,2023-01-05 00:00:00
LNC,cup with handle,2023-01-06 00:00:00
LYV,cup with handle,2022-12-12 00:00:00
LYV,2022-12-13 00:00:00,cup with handle
LYV,cup with handle,2022-12-14 00:00:00
LYV,2023-01-04 00:00:00,cup with handle
LYV,cup with handle,2023-01-05 00:00:00
2022-12-13 00:00:00,LUMN,cup with handle
LUMN,cup with handle,2022-12-14 00:00:00
2023-01-03 00:00:00,LUMN,cup with handle
2023-01-04 00:00:00,LUMN,cup with handle
LUMN,cup with handle,2023-01-05 00:00:00
LUMN,cup with handle,2023-01-06 00:00:00
LUMN,2023-01-09 00:00:00,cup with handle
MTB,2023-01-04 00:00:00,cup with handle
MTB,cup with handle,2023-01-05 00:00:00
MTB,cup with handle,2023-01-06 00:00:00
MTB,2023-01-09 00:00:00,cup with handle
cup with handle,2023-01-09 00:00:00,MRO
cup with handle,MPC,2022-12-23 00:00:00
2022-12-28 00:00:00,cup with handle,MPC
cup with handle,MPC,2023-01-05 00:00:00
cup with handle,2023-01-09 00:00:00,MPC
MAR,cup with handle,2023-01-06 00:00:00
2023-01-09 00:00:00,MAR,cup with handle
2023-01-04 00:00:00,MLM,cup with handle
MAS,cup with handle,2023-01-05 00:00:00
MTCH,2023-01-04 00:00:00,cup with handle
MTCH,cup with handle,2023-01-05 00:00:00
MTCH,cup with handle,2023-01-06 00:00:00
MTCH,2023-01-09 00:00:00,cup with handle
cup with handle,MCD,2023-01-06 00:00:00
cup with handle,2022-12-12 00:00:00,MDT
2022-12-13 00:00:00,cup with handle,MDT
2023-01-03 00:00:00,cup with handle,MDT
cup with handle,2023-01-05 00:00:00,MDT
META,cup with handle,2022-12-12 00:00:00
2023-01-04 00:00:00,cup with handle,MET
cup with handle,2023-01-05 00:00:00,MET
cup with handle,2023-01-06 00:00:00,MET
cup with handle,MGM,2023-01-05 00:00:00
MU,2023-01-04 00:00:00,cup with handle
MU,cup with handle,2023-01-05 00:00:00
MOH,2022-12-15 00:00:00,cup with handle
MOH,cup with handle,2022-12-16 00:00:00
MOS,cup with handle,2023-01-06 00:00:00
2023-01-09 00:00:00,MOS,cup with handle
MSCI,2023-01-09 00:00:00,cup with handle
NDAQ,2023-01-09 00:00:00,cup with handle
NTAP,2023-01-04 00:00:00,cup with handle
NTAP,cup with handle,2023-01-05 00:00:00
NTAP,cup with handle,2023-01-06 00:00:00
NTAP,2023-01-09 00:00:00,cup with handle
NWL,cup with handle,2022-12-12 00:00:00
NWL,cup with handle,2022-12-14 00:00:00
NWL,2022-12-15 00:00:00,cup with handle
NWL,cup with handle,2022-12-29 00:00:00
