Date,stock_symbol,pattern
2022-12-30,PXD,cup with handle
2023-01-05,PXD,cup with handle
2023-01-06,PXD,cup with handle
2023-01-09,PXD,cup with handle
2023-01-10,PXD,cup with handle
2022-12-27,PNC,cup with handle
2022-12-28,PNC,cup with handle
2022-12-29,PNC,cup with handle
2022-12-30,PNC,cup with handle
2023-01-06,POOL,cup with handle
2023-01-06,PFG,cup with handle
2023-01-09,PFG,cup with handle
2023-01-10,PFG,cup with handle
2023-01-04,PRU,cup with handle
2023-01-06,PRU,cup with handle
2023-01-06,PTC,cup with handle
2023-01-06,QCOM,cup with handle
2023-01-09,QCOM,cup with handle
2023-01-10,QCOM,cup with handle
2023-01-06,RJF,cup with handle
2023-01-09,RJF,cup with handle
2023-01-10,RJF,cup with handle
2023-01-06,REG,cup with handle
2023-01-06,REGN,cup with handle
2022-12-29,RF,cup with handle
2022-12-30,RF,cup with handle
2023-01-03,RF,cup with handle
2023-01-04,RF,cup with handle
2023-01-05,RF,cup with handle
2023-01-10,RF,cup with handle
2023-01-10,RMD,cup with handle
2022-12-13,RHI,cup with handle
2022-12-30,RHI,cup with handle
2023-01-03,RHI,cup with handle
2023-01-05,RHI,cup with handle
2023-01-10,RHI,cup with handle
2023-01-05,RCL,cup with handle
2022-12-29,CRM,cup with handle
2022-12-30,CRM,cup with handle
2023-01-03,CRM,cup with handle
2023-01-04,CRM,cup with handle
2023-01-05,CRM,cup with handle
2023-01-06,CRM,cup with handle
2023-01-03,SLB,cup with handle
2023-01-04,SLB,cup with handle
2022-12-29,STX,cup with handle
2022-12-30,STX,cup with handle
2023-01-04,NOW,cup with handle
2023-01-04,SBNY,cup with handle
2023-01-06,SBNY,cup with handle
2023-01-09,SBNY,cup with handle
2023-01-09,LUV,cup with handle
2023-01-10,LUV,cup with handle
2022-12-13,SIVB,cup with handle
2022-12-14,SIVB,cup with handle
2023-01-09,SYY,cup with handle
2023-01-10,SYY,cup with handle
2023-01-05,TMUS,cup with handle
2023-01-09,TROW,cup with handle
2022-12-13,TTWO,cup with handle
2022-12-14,TTWO,cup with handle
2022-12-30,TTWO,cup with handle
2023-01-03,TTWO,cup with handle
2023-01-03,TGT,cup with handle
2023-01-04,TGT,cup with handle
2023-01-05,TGT,cup with handle
2023-01-09,TGT,cup with handle
2023-01-10,TGT,cup with handle
2023-01-06,TEL,cup with handle
2023-01-09,TRMB,cup with handle
2023-01-10,TRMB,cup with handle
2022-12-29,TFC,cup with handle
2022-12-30,TFC,cup with handle
2023-01-03,TFC,cup with handle
2023-01-03,TSN,cup with handle
2023-01-04,TSN,cup with handle
2023-01-05,TSN,cup with handle
2023-01-04,UDR,cup with handle
2023-01-05,UAL,cup with handle
2022-12-23,VLO,cup with handle
2022-12-27,VLO,cup with handle
2022-12-28,VLO,cup with handle
2022-12-29,VLO,cup with handle
2022-12-30,VLO,cup with handle
2023-01-05,VLO,cup with handle
2023-01-06,VLO,cup with handle
2023-01-03,VFC,cup with handle
2023-01-09,WMT,cup with handle
2023-01-10,WMT,cup with handle
2023-01-04,WBD,cup with handle
2023-01-05,WBD,cup with handle
2023-01-04,WFC,cup with handle
2023-01-05,WFC,cup with handle
2023-01-06,WFC,cup with handle
2023-01-09,WFC,cup with handle
2023-01-10,WFC,cup with handle
2023-01-04,WDC,cup with handle
2023-01-09,WY,cup with handle
2023-01-10,GWW,cup with handle
2022-12-30,ZBRA,cup with handle
2022-12-23,ZION,cup with handle
2022-12-27,ZION,cup with handle
2022-12-29,ZION,cup with handle
2022-12-30,ZION,cup with handle
2023-01-03,ZION,cup with handle
2023-01-05,ZION,cup with handle
