fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2018-03-31,USD,367502000000,0,None,12043000000,240624000000,126878000000,3087000000,7775000000,38044000000,91898000000,49942000000,0,23086000000,45059000000,89320000000,20478000000,8498000000,-3064000000,35077000000,130053000000,179286000000,126878000000,42881000000,22408000000,101362000000,7662000000,61067000000,0,0,38044000000,0,91898000000,0,None,23086000000,None,237449000000,None,101362000000,46855000000,151304000000,None,None,None,None,367502000000,87940000000,None,4943282000
2017-12-31,USD,406794000000,2149000000,None,11337000000,266595000000,140199000000,3131000000,8044000000,36447000000,104593000000,46337000000,5889000000,229305000000,27491000000,115788000000,18478000000,6498000000,-841000000,33679000000,143810000000,207944000000,132161000000,49662000000,50899000000,103922000000,4421000000,89266000000,0,0,36447000000,0,104593000000,0,None,13323000000,None,262984000000,None,103922000000,43754000000,150807000000,None,None,None,None,406794000000,77153000000,None,5081651000
2017-09-30,USD,375319000000,2298000000,None,13936000000,241272000000,134047000000,2836000000,7548000000,35867000000,98330000000,11747000000,5717000000,212891000000,20289000000,100814000000,18473000000,6496000000,-150000000,33783000000,128645000000,194714000000,126032000000,53892000000,35673000000,97207000000,4855000000,74793000000,0,0,35867000000,0,98330000000,0,None,10162000000,None,246674000000,None,97207000000,40415000000,140458000000,None,None,None,None,375319000000,74181000000,None,5126201000
2017-06-30,USD,345173000000,2444000000,None,10338000000,212748000000,132425000000,2984000000,7608000000,34445000000,98525000000,11391000000,5661000000,203012000000,18571000000,81302000000,18475000000,108603000000,-545000000,29286000000,112875000000,184757000000,124320000000,58188000000,22632000000,89864000000,3146000000,55219000000,0,0,34445000000,0,98525000000,0,None,10150000000,None,232298000000,None,89864000000,38598000000,131446000000,None,None,None,None,345173000000,76759000000,None,5169782000
2017-03-31,USD,334532000000,2617000000,None,11367000000,200450000000,134082000000,3107000000,7682000000,33579000000,100925000000,14351000000,5473000000,205379000000,15157000000,73342000000,13999000000,13991000000,-422000000,27163000000,101990000000,189740000000,125992000000,51944000000,20612000000,84531000000,2910000000,51669000000,0,0,33579000000,0,100925000000,0,None,7549000000,None,232542000000,None,84531000000,39470000000,127108000000,None,None,None,None,334532000000,67101000000,None,5205815000
2016-12-31,USD,331141000000,2848000000,None,12191000000,198751000000,132390000000,3163000000,7889000000,32144000000,100001000000,14116000000,5423000000,201299000000,16371000000,84130000000,13992000000,13992000000,245000000,26510000000,103332000000,185638000000,124119000000,44081000000,27977000000,73557000000,2712000000,62249000000,0,0,32144000000,0,100001000000,0,None,7390000000,None,227809000000,None,73557000000,37901000000,114621000000,None,None,None,None,331141000000,60452000000,None,5255423000
2016-09-30,USD,321686000000,3206000000,None,8283000000,193437000000,128249000000,2930000000,8080000000,31251000000,96364000000,12985000000,5414000000,187807000000,20484000000,79006000000,11600000000,3500000000,634000000,27010000000,106869000000,170430000000,119629000000,46671000000,29299000000,75427000000,2132000000,59321000000,0,0,31251000000,0,96364000000,0,None,8757000000,None,214817000000,None,75427000000,36074000000,114431000000,None,None,None,None,321686000000,67155000000,None,5336166000
2016-06-30,USD,305602000000,3506000000,None,11132000000,179061000000,126541000000,3064000000,8352000000,30106000000,96542000000,14076000000,5261000000,186393000000,18237000000,71486000000,15996000000,15996000000,-107000000,25448000000,93761000000,169764000000,117774000000,43519000000,19042000000,68939000000,1831000000,47138000000,0,0,30106000000,0,96542000000,0,None,7862000000,None,211841000000,None,68939000000,35572000000,107575000000,None,None,None,None,305602000000,61756000000,None,5393165000
2016-03-31,USD,305277000000,3843000000,None,10204000000,174820000000,130457000000,3322000000,9461000000,29484000000,102021000000,14226000000,5249000000,194482000000,21514000000,68265000000,10498000000,10498000000,-1048000000,23203000000,87592000000,177645000000,121365000000,33769000000,19824000000,69374000000,2281000000,48306000000,0,0,29484000000,0,102021000000,0,None,7745000000,None,217685000000,None,69374000000,33859000000,106555000000,None,None,None,None,305277000000,55283000000,None,5478446000
2015-12-31,USD,293284000000,3924000000,None,11073000000,165017000000,128267000000,3546000000,8989000000,28253000000,101494000000,14104000000,5202000000,194765000000,16689000000,76092000000,9759000000,None,-1480000000,22300000000,76219000000,177665000000,119141000000,21385000000,24621000000,53204000000,2451000000,57344000000,0,0,28253000000,0,101494000000,0,None,7974000000,None,217065000000,None,53204000000,32175000000,88925000000,None,None,None,None,293284000000,38074000000,None,5544487000
2015-09-30,USD,290479000000,3893000000,None,9539000000,171124000000,119355000000,3624000000,8940000000,27416000000,92284000000,12989000000,5116000000,178630000000,21120000000,80610000000,10999000000,2513000000,-345000000,22471000000,89378000000,164065000000,110346000000,20481000000,35889000000,53463000000,2349000000,60671000000,0,0,27416000000,0,92284000000,0,None,5556000000,None,201101000000,None,53463000000,33427000000,90514000000,None,None,None,None,290479000000,41601000000,None,5578753000
