fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2018-04-30,USD,18498000000,313000000,None,835000000,11456000000,7042000000,0,1961000000,10000000,19216000000,1570000000,3368000000,455000000,4870000000,4580000000,5306000000,5306000000,-78000000,1257000000,11891000000,1214000000,3361000000,482000000,2665000000,5306000000,3494000000,2619000000,0,0,10000000,0,19216000000,-19193000000,None,None,None,6152000000,None,5306000000,1570000000,6876000000,None,None,None,7087000000,18498000000,5352000000,None,1040000000
2018-01-31,USD,19663000000,362000000,None,774000000,11157000000,8506000000,0,2018000000,11000000,18288000000,1453000000,3368000000,5439000000,6799000000,4399000000,5305000000,5305000000,-79000000,1195000000,13029000000,1203000000,4776000000,655000000,2182000000,5305000000,3125000000,2381000000,0,0,11000000,0,18288000000,-16694000000,None,None,None,6128000000,None,5305000000,1453000000,6758000000,None,None,None,6980000000,19663000000,7454000000,None,1071000000
2017-10-31,USD,19419000000,412000000,None,886000000,10070000000,9349000000,0,1665000000,11000000,18258000000,646000000,3368000000,5435000000,5010000000,4115000000,5304000000,5304000000,-64000000,1066000000,12918000000,1143000000,5569000000,2266000000,2338000000,5304000000,2930000000,2450000000,0,0,11000000,0,18258000000,-15912000000,None,None,None,5989000000,None,5304000000,651000000,5955000000,None,None,None,7056000000,19419000000,7276000000,None,1060000000
2017-07-31,USD,19078000000,461000000,None,840000000,10362000000,8716000000,0,2116000000,11000000,17383000000,680000000,3357000000,5351000000,5278000000,4371000000,5303000000,5303000000,-101000000,996000000,12731000000,1059000000,4898000000,1953000000,2258000000,5303000000,2876000000,2255000000,0,0,11000000,0,17383000000,-15527000000,None,None,None,5873000000,None,5303000000,688000000,5991000000,None,None,None,6950000000,19078000000,7231000000,None,1083000000
2017-04-30,USD,18240000000,490000000,None,756000000,10028000000,8212000000,0,1787000000,11000000,16564000000,625000000,3330000000,5253000000,4944000000,4097000000,5502000000,5502000000,-110000000,969000000,12018000000,961000000,4392000000,1800000000,2381000000,5302000000,2609000000,2310000000,0,0,11000000,0,16564000000,-15152000000,None,None,None,5750000000,None,5302000000,629000000,5931000000,None,None,None,6899000000,18240000000,6744000000,None,1087000000
2017-01-31,USD,15244000000,527000000,None,746000000,7557000000,7687000000,0,1669000000,11000000,15847000000,622000000,3316000000,5201000000,3491000000,3808000000,None,None,-106000000,949000000,9094000000,909000000,3844000000,656000000,2369000000,3125000000,2281000000,2139000000,0,0,11000000,0,15847000000,-14870000000,None,None,None,5701000000,None,3125000000,624000000,3749000000,None,None,None,6805000000,15244000000,4147000000,None,1089000000
2016-10-31,USD,14588000000,575000000,None,753000000,7371000000,7217000000,0,1376000000,11000000,15252000000,595000000,3316000000,5298000000,3406000000,3632000000,200000000,3325000000,-115000000,937000000,8353000000,929000000,3326000000,343000000,2279000000,3143000000,2050000000,2056000000,0,0,11000000,0,15252000000,-14740000000,None,None,None,5757000000,None,3143000000,596000000,3739000000,None,None,None,6809000000,14588000000,3749000000,None,1078000000
2016-07-31,USD,13699000000,621000000,None,764000000,6880000000,6819000000,0,1164000000,11000000,14750000000,557000000,3305000000,5395000000,2828000000,2964000000,200000000,200000000,-87000000,905000000,7399000000,960000000,2893000000,438000000,1852000000,3343000000,2026000000,1800000000,0,0,11000000,0,14750000000,-14569000000,None,None,None,5791000000,None,3343000000,573000000,3916000000,None,None,None,6714000000,13699000000,3266000000,None,1093000000
2016-04-30,USD,13075000000,668000000,None,788000000,6510000000,6565000000,0,981000000,11000000,14353000000,542000000,3304000000,5443000000,2470000000,2611000000,200000000,200000000,-95000000,904000000,6728000000,934000000,2593000000,170000000,1913000000,3343000000,1924000000,1630000000,0,0,11000000,0,14353000000,-14373000000,None,None,None,5810000000,None,3343000000,556000000,3899000000,None,None,None,6669000000,13075000000,2640000000,None,None
2016-01-31,USD,13326000000,714000000,None,830000000,6158000000,7168000000,0,2307000000,11000000,14142000000,494000000,3302000000,5508000000,2962000000,2307000000,None,None,-94000000,908000000,6910000000,996000000,3152000000,154000000,1625000000,3343000000,1835000000,549000000,0,0,11000000,0,14142000000,-13473000000,None,None,None,5920000000,None,3343000000,508000000,3851000000,None,None,None,6582000000,13326000000,3116000000,None,1154000000
2015-10-31,USD,15308000000,762000000,None,869000000,7695000000,7613000000,0,2598000000,11000000,13967000000,499000000,3302000000,5155000000,4797000000,3798000000,1200000000,4542000000,-92000000,892000000,9261000000,946000000,3549000000,168000000,1739000000,3342000000,1833000000,658000000,0,0,11000000,0,13967000000,-12848000000,None,None,None,5902000000,None,3342000000,555000000,3897000000,None,None,None,6575000000,15308000000,4965000000,None,1160000000
