Symbol,Processed
ED,processed
STZ,negative net income
CEG,negative net income
COO,processed
CPRT,processed
GLW,processed
CSGP,unaligned reports
COST,slopefailed
CTRA,unaligned reports
CCI,slopefailed
CSX,processed
CMI,processed
CVS,negative net income
DHI,processed
DHR,slopefailed
DRI,processed
DVA,processed
DE,processed
DAL,processed
XRAY,negative net income
DVN,slopefailed
DXCM,processed
FANG,slopefailed
DLR,slopefailed
DFS,processed
DISH,unaligned reports
DIS,slopefailed
DG,processed
DLTR,slopefailed
D,negative net income
DPZ,slopefailed
DOV,processed
DTE,slopefailed
DUK,processed
DD,processed
DXC,processed
EMN,processed
ETN,processed
EBAY,negative net income
ECL,slopefailed
EIX,negative net income
EW,slopefailed
EA,slopefailed
ELV,slopefailed
LLY,processed
EMR,processed
ENPH,slopefailed
ETR,unaligned reports
EOG,processed
EPAM,slopefailed
EQT,negative net income
EFX,processed
EQIX,processed
EQR,slopefailed
ESS,slopefailed
EL,processed
ETSY,negative net income
RE,negative net income
EVRG,processed
ES,processed
EXC,processed
EXPE,negative net income
EXPD,processed
EXR,slopefailed
XOM,processed
FFIV,slopefailed
FDS,slopefailed
FAST,slopefailed
FRT,processed
FDX,processed
FITB,slopefailed
FRC,slopefailed
FSLR,negative net income
FE,processed
FIS,slopefailed
FISV,processed
FLT,slopefailed
FMC,processed
F,negative net income
FTNT,slopefailed
FTV,unaligned reports
FOXA,slopefailed
FOX,slopefailed
BEN,processed
FCX,processed
GRMN,processed
IT,processed
GEN,slopefailed
GNRC,slopefailed
GD,processed
GE,negative net income
GIS,processed
GM,slopefailed
GPC,processed
GILD,processed
GL,processed
GPN,negative net income
GS,processed
HAL,processed
HIG,processed
HAS,slopefailed
HCA,processed
PEAK,processed
HSIC,processed
HSY,slopefailed
HES,processed
HPE,negative net income
HLT,slopefailed
HOLX,processed
HD,processed
HON,processed
HRL,slopefailed
HST,negative net income
HWM,processed
HPQ,negative net income
HUM,slopefailed
HBAN,processed
HII,slopefailed
IBM,negative net income
IEX,processed
IDXX,processed
ITW,processed
ILMN,negative net income
INCY,processed
IR,processed
INTC,negative net income
ICE,negative net income
IP,processed
IPG,processed
IFF,negative net income
INTU,negative net income
ISRG,processed
IVZ,processed
INVH,slopefailed
IQV,slopefailed
IRM,processed
JBHT,processed
JKHY,slopefailed
J,processed
JNJ,processed
JCI,processed
JPM,processed
JNPR,processed
K,slopefailed
KDP,slopefailed
KEY,processed
KEYS,processed
KMB,processed
KIM,negative net income
KMI,processed
KLAC,processed
KHC,processed
KR,unaligned reports
LHX,unaligned reports
LH,processed
LRCX,processed
LW,processed
LVS,negative net income
LDOS,processed
LEN,processed
LNC,negative net income
LIN,processed
LYV,negative net income
LKQ,processed
LMT,processed
L,processed
LOW,processed
LUMN,slopefailed
LYB,processed
MTB,slopefailed
MRO,slopefailed
MPC,processed
MKTX,processed
MAR,slopefailed
MMC,processed
MLM,processed
MAS,processed
MA,processed
MTCH,negative net income
MKC,processed
MCD,processed
MCK,processed
MDT,slopefailed
MRK,processed
META,processed
MET,processed
MTD,processed
MGM,negative net income
MCHP,unaligned reports
MU,negative net income
MSFT,slopefailed
MAA,slopefailed
MRNA,processed
MHK,negative net income
MOH,slopefailed
TAP,slopefailed
MDLZ,processed
MPWR,unaligned reports
MNST,processed
MCO,processed
MS,processed
MOS,slopefailed
MSI,processed
MSCI,processed
NDAQ,slopefailed
NTAP,slopefailed
NFLX,processed
NWL,slopefailed
NEM,processed
NWSA,processed
NWS,processed
NEE,processed
NKE,processed
NI,processed
NDSN,processed
NSC,processed
NTRS,processed
NOC,processed
NCLH,negative net income
NRG,slopefailed
NUE,processed
NVDA,processed
NVR,processed
NXPI,unaligned reports
ORLY,processed
OXY,slopefailed
ODFL,processed
OMC,processed
ON,slopefailed
OKE,processed
ORCL,processed
PCAR,processed
PKG,processed
PARA,slopefailed
PH,processed
PAYX,slopefailed
PAYC,slopefailed
PYPL,negative net income
PNR,processed
PEP,unaligned reports
PKI,unaligned reports
PFE,processed
PCG,negative net income
PM,processed
PSX,processed
PNW,processed
PXD,slopefailed
PNC,processed
POOL,slopefailed
PPG,processed
PPL,negative net income
PFG,processed
PG,processed
PGR,negative net income
PLD,processed
PRU,negative net income
PEG,negative net income
PTC,processed
PSA,slopefailed
PHM,processed
QRVO,processed
PWR,slopefailed
QCOM,slopefailed
DGX,processed
RL,processed
RJF,processed
RTX,processed
O,processed
REG,processed
REGN,processed
RF,processed
RSG,slopefailed
RMD,slopefailed
RHI,slopefailed
ROK,processed
ROL,slopefailed
ROP,processed
ROST,processed
RCL,negative net income
SPGI,processed
CRM,slopefailed
SBAC,slopefailed
SLB,processed
STX,slopefailed
SEE,processed
SRE,slopefailed
NOW,slopefailed
SHW,processed
SBNY,slopefailed
SPG,processed
SWKS,processed
SJM,processed
SNA,processed
SEDG,unaligned reports
SO,processed
LUV,slopefailed
SWK,slopefailed
SBUX,processed
STT,processed
STLD,processed
STE,negative net income
SYK,processed
SIVB,slopefailed
SYF,slopefailed
SNPS,slopefailed
SYY,slopefailed
TMUS,negative net income
TROW,slopefailed
TTWO,negative net income
TPR,processed
TRGP,processed
TGT,slopefailed
TEL,slopefailed
TDY,processed
TFX,processed
TER,processed
TSLA,slopefailed
TXN,processed
TXT,processed
TMO,slopefailed
TJX,processed
TSCO,processed
TT,processed
TDG,processed
TRV,processed
TRMB,slopefailed
TFC,slopefailed
TYL,slopefailed
TSN,slopefailed
USB,processed
UDR,slopefailed
ULTA,processed
UNP,processed
UAL,negative net income
UPS,slopefailed
URI,processed
UNH,slopefailed
UHS,processed
VLO,processed
VTR,negative net income
VRSN,processed
VRSK,unaligned reports
VZ,processed
VRTX,slopefailed
VFC,unaligned reports
VTRS,unaligned reports
VICI,negative net income
V,processed
VMC,processed
WAB,processed
WBA,negative net income
WMT,negative net income
WBD,negative net income
WM,slopefailed
WAT,unaligned reports
WEC,slopefailed
WFC,slopefailed
WELL,negative net income
WST,slopefailed
WDC,slopefailed
WRK,processed
WY,slopefailed
WHR,negative net income
WMB,slopefailed
WTW,processed
GWW,slopefailed
WYNN,negative net income
XEL,processed
XYL,processed
YUM,processed
ZBRA,negative net income
