Symbol,Processed,Downloaded
TXT,slopefailed,0
TMO,unaligned reports,0
TJX,slopefailed,0
TSCO,processed,0
TT,processed,0
TDG,processed,0
TRV,slopefailed,0
TRMB,slopefailed,0
TFC,slopefailed,0
TYL,slopefailed,0
TSN,slopefailed,0
USB,slopefailed,0
UDR,slopefailed,0
ULTA,processed,0
UNP,slopefailed,0
UAL,slopefailed,0
UPS,processed,0
URI,slopefailed,0
UNH,slopefailed,0
UHS,slopefailed,0
VLO,slopefailed,0
VTR,negative net income,0
VRSN,slopefailed,0
VRSK,unaligned reports,0
VZ,slopefailed,0
VRTX,slopefailed,0
VFC,unaligned reports,0
VTRS,unaligned reports,0
VICI,slopefailed,0
V,processed,0
VMC,slopefailed,0
WAB,slopefailed,0
WBA,negative net income,0
WMT,negative net income,0
WBD,negative net income,0
WM,slopefailed,0
WAT,unaligned reports,0
WEC,slopefailed,0
WFC,slopefailed,0
WELL,negative net income,0
WST,processed,0
WDC,negative net income,0
WRK,slopefailed,0
WY,slopefailed,0
WHR,negative net income,0
WMB,slopefailed,0
WTW,slopefailed,0
GWW,processed,0
WYNN,negative net income,0
XEL,slopefailed,0
XYL,slopefailed,0
YUM,processed,0
ZBRA,processed,0
